,article_id,comments,is_reply,neg,neu,pos,compound
0,0.0,What's the point of studying so much ended up working as a Cleaner and taxi driver for university graduates while the rest of the position fill up by foreign talents who work to apply for Singapore citizenship then went back to China to join People Liberation Army and dropped Singapore Citizenship,0.0,0.0,0.872,0.128,0.7096
1,0.0,"No matter what kind of streaming or subject based banding, the kids will still have to study hard to get good results in order to move on to higher level. The stress level will still be the same or higher no matter what kind of education system we have here in Singapore. Our education system is just too competitive. Kids will still continue to have their tuition classes and have to study hard in order to stay the top. In short, no matter what education system in Singapore, it just can't change this fact. Everyone is just too scare to lose out.",0.0,0.156,0.76,0.084,-0.8555
2,0.0,Seems to be that the purpose of this system is to allow students to learn at their own pace. Maybe better students get to graduate earlier? (Is there such a thing?),1.0,0.0,0.844,0.156,0.6322
3,0.0,"This feels like just another diversion from REAL issues. Whether streaming or SBB, the main concern should be whether our policies are maximizing our limited resources (i.e. manpower) - will our people get good jobs now and in future. Will it prevent/address the under-employment issue? Proper training or education but if those entering the workforce still cannot find careers in areas where they are academically strong in (worse if they have the passion in certain areas but no opportunity), then what is the point?",0.0,0.045,0.797,0.159,0.8981
4,0.0,Isn’t a “real” issue the boxing of kids into smart vs not so smart categories?,1.0,0.0,0.69,0.31,0.6597
5,0.0,Streaming was started by that tancho tan Tony Tan in the 1980s. Back then when some people protested lee con you brushed everyone aside. Singaporeans had since paid the price of yet another PAP policy that failed the test of time.,0.0,0.11,0.89,0.0,-0.5859
6,0.0,"Will they admit it, that it is a failure? Perhaps then it made sense since technologies were not so diverse then, but they should have made changes EARLIER. Probably during the mid-late part of GCT time should have changes; for LHL era, there is NO EXCUSE for continuing with earlier policies blindly. And he has been PM for 14+years???",1.0,0.108,0.831,0.061,-0.6199
7,0.0,the issue is not how the cake is being cut. the issue is whether the distribution of the cake is fair and just. the act of slicing the cake from cubes to wedges is merely superficial.,0.0,0.055,0.885,0.06,0.0516
8,0.0,Who started the secondary school streaming in the first place? Who?,0.0,0.0,1.0,0.0,0.0
9,0.0,@RneGan Who else? Our Great Founding Leeder!,1.0,0.0,0.577,0.423,0.6588
10,0.0,"Well, well, well, don't $mil-men need to be seen to be doing something big as a justification of their hard earned $$$$$$$$? Sometimes gotta reinvent the wheel. Sometimes gotta 'fix-it', even if it ain't broke, right?",0.0,0.035,0.743,0.223,0.7644
11,0.0,"Every time once the monkey play with musical chair game for the ministers, New system will implement and Singapore become so messy and confusing.
This is not changing base on globally change, Its totally base on those monkey trying to be smart with new system. ( Indirectly, New minister are telling everyone the previous minister which making a lousy system for correction )",0.0,0.129,0.797,0.074,-0.5866
12,0.0,"@Leonard Leong , Do you agree last change which is a good system ?",1.0,0.0,0.625,0.375,0.6597
13,0.0,"Singapore is always wanting to be unique ;)

Anyway, change is everywhere, those who reject changes will lose out.",1.0,0.232,0.687,0.082,-0.5423
14,0.0,Singapore is always unique,1.0,0.0,1.0,0.0,0.0
15,0.0,"if a student chose to do all low-level subjects and he score well at the exams, does he even qualify for poly or JC??",0.0,0.0,0.899,0.101,0.3527
16,0.0,"7 A1 at G1, dunno qualify for which JCs?",1.0,0.0,0.691,0.309,0.4824
17,0.0,"This is good as in the past students are forced to do subjects they may not like it or have a liking in it, now with subject banding, it can best suit all students with their strength and study what they likes.",0.0,0.093,0.619,0.288,0.8931
18,0.0,"It will only take place in year 2024. So, please note that current Pri 1s and Pri 2s will gain from the change. As for the rest of the current schooling cohorts of Pri 3 to sec 5, they will still go through Gifted, Special, Express, Normal Academic and Technical Steams.",0.0,0.0,0.844,0.156,0.8268
19,0.0,so messed up,0.0,0.574,0.426,0.0,-0.4005
20,0.0,"They will make every sector so complex, just like the CPF, the outcome will be cannot ""convince you, might as well confuse you""",0.0,0.132,0.691,0.177,0.3013
21,0.0,We should bring back caning. Students are now cursing their teachers openly and nothing is being done to stop this!,0.0,0.116,0.884,0.0,-0.3595
22,0.0,"@mac12 The solution is simple, use robots to do the caning.

Then again, does caning really prevent bad students? Or are parents involvement in child learning more important?",1.0,0.111,0.707,0.181,0.0945
23,0.0,It’s true that some rowdy students need the cane but then one wonders who is the one that’s going to administer it....human beings has a natural tendency to express their frustrations in things like corporal punishment and who are we to say who fits the bill to administer such.....,1.0,0.139,0.72,0.141,-0.2263
24,0.0,Change here n there in the end bring in FTS all also no job all jobs taken by fts,0.0,0.115,0.885,0.0,-0.296
25,0.0,"In the first place, are parents consulted prior to implementing the new system? I may not hv followed. Say all you want to remove the caste system but end of the day, are we producing better children that hv economy values as the society evolves. Many hv felt left out and drop out because of the streaming. This is a big big expense to a generation of our child.",0.0,0.036,0.847,0.117,0.7096
26,0.0,"NO end one lah. Even if you stop labelling in Secondary school, when u go JC, you will be labelled too; either u go to every good JC or just neighbourhood JC. Then when go University, either to go very good Faculty of medicine, or lousy Faculty Arts. Then when u go work, either u are in good performance or poor performance category.",0.0,0.162,0.718,0.12,-0.4648
27,0.0,"Unis they also compare, NTU vs NUS vs SMU vs SUTD vs SUSS?
Within Unis, also have Scholars Programs.
Work - cannot compare, boss relatives/friends 1st priority. Performance or not doesn't matter.

LOL
More",1.0,0.0,0.9,0.1,0.3489
28,0.0,"@Fang – labelling children at a young age can have detrimental effect; hence, the removal of streaming in secondary school. It can affect their self-confidence and self-esteem.
By the time they go to poly or JC, university and so on, they would be old enough to think for themselves.",1.0,0.0,1.0,0.0,0.0
29,0.0,Why the need to change now?...It means that for the last 35yrs you did not really see the results of your so call 'Gifted' or 'Scienced' up students who just turn out to medicore and only interested in chasing money??? LOL.,0.0,0.0,0.844,0.156,0.8016
30,0.0,"why need to. study, 4ligners taking the job anyway",0.0,0.0,1.0,0.0,0.0
31,0.0,"Only 2-3 days of school per week is optimal, given our advanced internet availability",0.0,0.0,0.727,0.273,0.5423
32,0.0,"The elite class will protect their own interest. They dont bother about singaporean. Look at american talk so much and death on banning gun law. See any breakthrough! They talk loosely without showing empathy to us. Singaporean you all think for yourself and your family nobody owe you a living. Dont look around you. Hey i talking about you. Dont let the pap gets scott free at your expence. Simple thing like is pap the govt or a political party. Fight for your rights. You give them the millions salary. Dont like speak up and loud. Dont depends on others. You blame yourself. I disappointed they lied with eyes open!
More",0.0,0.132,0.72,0.147,0.2397
33,0.0,"Good, no more discrimination and comparing among the parents. This would cause stress and feeling of under-achievement for the parents.",0.0,0.197,0.63,0.173,-0.1531
34,0.0,Is this going to be worse?,0.0,0.383,0.617,0.0,-0.4767
35,0.0,"Same as always, good for some, bad for some.
Those high scoring book worms, will be swept away by streaming. Those toilet wall vandals will be channeled into a more artistic curriculum.",1.0,0.099,0.819,0.082,-0.1531
36,0.0,Right pocket to left pocket. Flip flop with subject bands but still the same,0.0,0.116,0.884,0.0,-0.1779
